 "taxonLabel" , "artenGruppeLabel" , "status" , "year" , "totalSpecies" ,
 "Mammalia" , "Säugetiere (ohne Fledermäuse)" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "1994-01-01" , "2" ,
 "Mammalia" , "Säugetiere (ohne Fledermäuse)" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "1994-01-01" , "3" ,
 "Mammalia" , "Säugetiere (ohne Fledermäuse)" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "1994-01-01" , "2" ,
 "Mammalia" , "Säugetiere (ohne Fledermäuse)" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "1994-01-01" , "10" ,
 "Mammalia" , "Säugetiere (ohne Fledermäuse)" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "1994-01-01" , "4" ,
 "Mammalia" , "Säugetiere (ohne Fledermäuse)" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "1994-01-01" , "35" ,
 "Mammalia" , "Säugetiere (ohne Fledermäuse)" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "2020-01-01" , "1" ,
 "Mammalia" , "Säugetiere (ohne Fledermäuse)" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "2020-01-01" , "2" ,
 "Mammalia" , "Säugetiere (ohne Fledermäuse)" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "2020-01-01" , "8" ,
 "Mammalia" , "Säugetiere (ohne Fledermäuse)" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "2020-01-01" , "9" ,
 "Mammalia" , "Säugetiere (ohne Fledermäuse)" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "2020-01-01" , "3" ,
 "Mammalia" , "Säugetiere (ohne Fledermäuse)" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "2020-01-01" , "32" ,
 "Mammalia" , "Säugetiere (ohne Fledermäuse)" , "https://environment.ld.admin.ch/foen/red-lists/status/DD" , "2020-01-01" , "0" ,
 "Chiroptera" , "Fledermäuse" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "1994-01-01" , "1" ,
 "Chiroptera" , "Fledermäuse" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "1994-01-01" , "4" ,
 "Chiroptera" , "Fledermäuse" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "1994-01-01" , "3" ,
 "Chiroptera" , "Fledermäuse" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "1994-01-01" , "5" ,
 "Chiroptera" , "Fledermäuse" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "1994-01-01" , "11" ,
 "Chiroptera" , "Fledermäuse" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "1994-01-01" , "2" ,
 "Chiroptera" , "Fledermäuse" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "2014-01-01" , "0" ,
 "Chiroptera" , "Fledermäuse" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "2014-01-01" , "3" ,
 "Chiroptera" , "Fledermäuse" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "2014-01-01" , "5" ,
 "Chiroptera" , "Fledermäuse" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "2014-01-01" , "7" ,
 "Chiroptera" , "Fledermäuse" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "2014-01-01" , "7" ,
 "Chiroptera" , "Fledermäuse" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "2014-01-01" , "4" ,
 "Chiroptera" , "Fledermäuse" , "https://environment.ld.admin.ch/foen/red-lists/status/DD" , "2014-01-01" , "4" ,
 "Aves" , "Brutvögel" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "1994-01-01" , "8" ,
 "Aves" , "Brutvögel" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "1994-01-01" , "16" ,
 "Aves" , "Brutvögel" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "1994-01-01" , "10" ,
 "Aves" , "Brutvögel" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "1994-01-01" , "58" ,
 "Aves" , "Brutvögel" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "1994-01-01" , "23" ,
 "Aves" , "Brutvögel" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "1994-01-01" , "90" ,
 "Aves" , "Brutvögel" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "2010-01-01" , "7" ,
 "Aves" , "Brutvögel" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "2010-01-01" , "9" ,
 "Aves" , "Brutvögel" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "2010-01-01" , "21" ,
 "Aves" , "Brutvögel" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "2010-01-01" , "41" ,
 "Aves" , "Brutvögel" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "2010-01-01" , "32" ,
 "Aves" , "Brutvögel" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "2010-01-01" , "89" ,
 "Aves" , "Brutvögel" , "https://environment.ld.admin.ch/foen/red-lists/status/DD" , "2010-01-01" , "0" ,
 "Aves" , "Brutvögel" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "2020-01-01" , "8" ,
 "Aves" , "Brutvögel" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "2020-01-01" , "9" ,
 "Aves" , "Brutvögel" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "2020-01-01" , "25" ,
 "Aves" , "Brutvögel" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "2020-01-01" , "41" ,
