Jahr,Forstzone_id,Forstzone,Kanton_id,Kanton,Eigentümertyp_id,Eigentümertyp,Holzartengruppe_id,Holzartengruppe,Holzernte - Total,Stammholz,Industrieholz,Energieholz - Total,>> Stück-Energieholz,>> Hack-Energieholz,Übrige Sortimente
2019,0,Schweiz,1,Zürich,0,Eigentümertyp - Total,0,Holzartengruppe - Total,469303,213586,43806,211450,38525,172925,461
,,,,,,,1,Nadelholz,308262,183914,31497,92555,7691,84864,296
,,,,,,,2,Laubholz,161041,29672,12309,118895,30834,88061,165
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,237761,102292,23717,111596,16848,94748,156
,,,,,,,1,Nadelholz,142607,84157,17015,41289,1288,40001,146
,,,,,,,2,Laubholz,95154,18135,6702,70307,15560,54747,10
,,,,,23,Privatwälder,0,Holzartengruppe - Total,231542,111294,20089,99854,21677,78177,305
,,,,,,,1,Nadelholz,165655,99757,14482,51266,6403,44863,150
,,,,,,,2,Laubholz,65887,11537,5607,48588,15274,33314,155
,,,2,Bern / Berne,0,Eigentümertyp - Total,0,Holzartengruppe - Total,823460,431955,108716,281886,99212,182674,903
,,,,,,,1,Nadelholz,609437,400574,68601,139426,43066,96360,836
,,,,,,,2,Laubholz,214023,31381,40115,142460,56146,86314,67
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,426351,206343,74504,145194,40489,104705,310
,,,,,,,1,Nadelholz,284590,186358,43499,54481,8510,45971,252
,,,,,,,2,Laubholz,141761,19985,31005,90713,31979,58734,58
,,,,,23,Privatwälder,0,Holzartengruppe - Total,397109,225612,34212,136692,58723,77969,593
,,,,,,,1,Nadelholz,324847,214216,25102,84945,34556,50389,584
,,,,,,,2,Laubholz,72262,11396,9110,51747,24167,27580,9
,,,3,Luzern,0,Eigentümertyp - Total,0,Holzartengruppe - Total,191927,95238,41785,54783,18966,35817,121
,,,,,,,1,Nadelholz,151236,90208,31976,28946,9761,19185,106
,,,,,,,2,Laubholz,40691,5030,9809,25837,9205,16632,15
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,55671,25169,11239,19169,5312,13857,93
