Kanton,Holzernte - Total,Id
Zürich,512849,1
Bern / Berne,992486,2
Luzern,300649,3
Uri,27300,4
Schwyz,122367,5
Obwalden,71793,6
Nidwalden,26839,7
Glarus,41834,8
Zug,57877,9
Fribourg / Freiburg,235975,10
Solothurn,240930,11
Basel-Stadt,3083,12
Basel-Landschaft,132243,13
Schaffhausen,83988,14
Appenzell Ausserrhoden,52953,15
Appenzell Innerrhoden,22085,16
St. Gallen,314152,17
Graubünden / Grigioni / Grischun,395657,18
Aargau,448999,19
Thurgau,172580,20
Ticino,98749,21
Vaud,402563,22
Valais / Wallis,111959,23
Neuchâtel,151210,24
Genève,9067,25
Jura,168015,26
