id,municipality,Number,,
1,Aeugst am Albis,29.7,,
2,Affoltern am Albis,35.1,,
3,Bonstetten,27.8,,
4,Hausen am Albis,28.6,,
5,Hedingen,30.4,,
6,Kappel am Albis,29.0,,
7,Knonau,23.7,,
8,Maschwanden,30.7,,
9,Mettmenstetten,25.7,,
10,Obfelden,28.4,,
11,Ottenbach,28.2,,
12,Rifferswil,27.4,,
13,Stallikon,24.8,,
14,Wettswil am Albis,26.0,,
21,Adlikon,20.4,,
22,Benken (ZH),29.8,,
23,Berg am Irchel,26.5,,
24,Buch am Irchel,21.2,,
25,Dachsen,26.1,,
26,Dorf,21.3,,
27,Feuerthalen,35.9,,
28,Flaach,29.1,,
29,Flurlingen,29.7,,
30,Andelfingen,28.7,,
31,Henggart,23.8,,
32,Humlikon,21.4,,
33,Kleinandelfingen,27.9,,
34,Laufen-Uhwiesen,30.9,,
35,Marthalen,31.8,,
37,Ossingen,28.2,,
38,Rheinau,35.4,,
39,Thalheim an der Thur,26.9,,
40,Trüllikon,29.8,,
41,Truttikon,26.4,,
43,Volken,32.9,,
51,Bachenbülach,30.7,,
52,Bassersdorf,29.4,,
53,Bülach,34.0,,
54,Dietlikon,33.8,,
55,Eglisau,27.9,,
56,Embrach,30.0,,
57,Freienstein-Teufen,23.6,,
58,Glattfelden,29.2,,
59,Hochfelden,25.1,,
60,Höri,28.8,,
61,Hüntwangen,23.6,,
62,Kloten,37.6,,
63,Lufingen,24.1,,
64,Nürensdorf,29.9,,
65,Oberembrach,31.2,,
66,Opfikon,39.0,,
67,Rafz,28.3,,
68,Rorbas,29.4,,
69,Wallisellen,35.7,,
70,Wasterkingen,32.7,,
71,Wil (ZH),25.2,,
72,Winkel,27.9,,
81,Bachs,20.1,,
82,Boppelsen,26.1,,
83,Buchs (ZH),30.3,,
84,Dällikon,29.3,,
85,Dänikon,27.4,,
86,Dielsdorf,32.5,,
87,Hüttikon,20.8,,
88,Neerach,29.5,,
89,Niederglatt,30.7,,
90,Niederhasli,28.4,,
91,Niederweningen,26.8,,
92,Oberglatt,34.4,,
93,Oberweningen,24.8,,
94,Otelfingen,25.3,,
95,Regensberg,38.8,,
96,Regensdorf,33.0,,
97,Rümlang,33.0,,
98,Schleinikon,27.6,,
99,Schöfflisdorf,30.1,,
100,Stadel,31.0,,
101,Steinmaur,33.4,,
102,Weiach,31.5,,
111,Bäretswil,27.4,,
112,Bubikon,26.9,,
113,Dürnten,30.2,,
114,Fischenthal,25.8,,
115,Gossau (ZH),29.7,,
116,Grüningen,30.7,,
117,Hinwil,33.2,,
118,Rüti (ZH),38.0,,
119,Seegräben,27.4,,
120,Wald (ZH),34.4,,
121,Wetzikon (ZH),33.3,,
131,Adliswil,38.4,,
135,Kilchberg (ZH),36.6,,
136,Langnau am Albis,32.2,,
137,Oberrieden,35.2,,
138,Richterswil,33.1,,
139,Rüschlikon,30.9,,
141,Thalwil,36.5,,
151,Erlenbach (ZH),32.8,,
152,Herrliberg,32.0,,
153,Hombrechtikon,32.8,,
154,Küsnacht (ZH),36.2,,
155,Männedorf,33.2,,
156,Meilen,33.5,,
157,Oetwil am See,33.8,,
158,Stäfa,34.4,,
159,Uetikon am See,29.3,,
160,Zumikon,33.3,,
161,Zollikon,38.0,,
172,Fehraltorf,27.5,,
173,Hittnau,28.9,,
176,Lindau,25.6,,
177,Pfäffikon,34.4,,
178,Russikon,24.2,,
180,Weisslingen,26.5,,
181,Wila,31.7,,
182,Wildberg,29.4,,
191,Dübendorf,37.4,,
192,Egg,32.7,,
193,Fällanden,33.2,,
194,Greifensee,30.1,,
195,Maur,30.9,,
196,Mönchaltorf,30.8,,
197,Schwerzenbach,34.3,,
198,Uster,34.8,,
199,Volketswil,28.4,,
200,Wangen-Brüttisellen,27.5,,
211,Altikon,28.5,,
213,Brütten,27.8,,
214,Dägerlen,21.1,,
215,Dättlikon,22.1,,
216,Dinhard,24.7,,
218,Ellikon an der Thur,26.2,,
219,Elsau,24.0,,
220,Hagenbuch,31.2,,
221,Hettlingen,23.3,,
223,Neftenbach,27.1,,
224,Pfungen,31.5,,
225,Rickenbach (ZH),27.6,,
226,Schlatt (ZH),23.5,,
227,Seuzach,31.9,,
228,Turbenthal,30.0,,
230,Winterthur,38.5,,
231,Zell (ZH),32.1,,
241,Aesch (ZH),30.3,,
242,Birmensdorf (ZH),33.4,,
243,Dietikon,36.5,,
244,Geroldswil,32.0,,
245,Oberengstringen,38.6,,
246,Oetwil an der Limmat,38.0,,
247,Schlieren,36.0,,
248,Uitikon,27.0,,
249,Unterengstringen,33.1,,
250,Urdorf,36.2,,
251,Weiningen (ZH),30.5,,
261,Zürich,45.1,,
292,Stammheim,26.2,,
293,Wädenswil,33.5,,
294,Elgg,33.7,,
295,Horgen,31.7,,
296,Illnau-Effretikon,35.7,,
297,Bauma,30.9,,
298,Wiesendangen,24.9,,
301,Aarberg,36.0,,
302,Bargen (BE),27.8,,
303,Grossaffoltern,28.7,,
304,Kallnach,28.6,,
305,Kappelen,31.1,,
306,Lyss,34.7,,
307,Meikirch,29.3,,
309,Radelfingen,30.9,,
310,Rapperswil (BE),29.3,,
311,Schüpfen,33.1,,
312,Seedorf (BE),32.6,,
321,Aarwangen,31.2,,
322,Auswil,30.3,,
323,Bannwil,35.4,,
324,Bleienbach,30.8,,
