"id","A_Kanton","D_Jahr","D_Forstzone","D_Eigentümertyp","D_Holzartengruppe","M_Holzernte.Total","M_Stammholz","M_Industrieholz","M_Energieholz.Total","M_Stück.Energieholz","M_X...Hack.Energieholz","M_Übrige.Sortimente"
1,"Zürich",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","469303","213586","43806","211450","38525","172925","461"
1,"Zürich",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","308262","183914","31497","92555","7691","84864","296"
1,"Zürich",2019,"Schweiz","Eigentümertyp - Total","Laubholz","161041","29672","12309","118895","30834","88061","165"
1,"Zürich",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","237761","102292","23717","111596","16848","94748","156"
1,"Zürich",2019,"Schweiz","Öffentliche Wälder","Nadelholz","142607","84157","17015","41289","1288","40001","146"
1,"Zürich",2019,"Schweiz","Öffentliche Wälder","Laubholz","95154","18135","6702","70307","15560","54747","10"
1,"Zürich",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","231542","111294","20089","99854","21677","78177","305"
1,"Zürich",2019,"Schweiz","Privatwälder","Nadelholz","165655","99757","14482","51266","6403","44863","150"
1,"Zürich",2019,"Schweiz","Privatwälder","Laubholz","65887","11537","5607","48588","15274","33314","155"
2,"Bern / Berne",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","823460","431955","108716","281886","99212","182674","903"
2,"Bern / Berne",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","609437","400574","68601","139426","43066","96360","836"
2,"Bern / Berne",2019,"Schweiz","Eigentümertyp - Total","Laubholz","214023","31381","40115","142460","56146","86314","67"
2,"Bern / Berne",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","426351","206343","74504","145194","40489","104705","310"
2,"Bern / Berne",2019,"Schweiz","Öffentliche Wälder","Nadelholz","284590","186358","43499","54481","8510","45971","252"
2,"Bern / Berne",2019,"Schweiz","Öffentliche Wälder","Laubholz","141761","19985","31005","90713","31979","58734","58"
2,"Bern / Berne",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","397109","225612","34212","136692","58723","77969","593"
2,"Bern / Berne",2019,"Schweiz","Privatwälder","Nadelholz","324847","214216","25102","84945","34556","50389","584"
2,"Bern / Berne",2019,"Schweiz","Privatwälder","Laubholz","72262","11396","9110","51747","24167","27580","9"
3,"Luzern",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","191927","95238","41785","54783","18966","35817","121"
3,"Luzern",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","151236","90208","31976","28946","9761","19185","106"
3,"Luzern",2019,"Schweiz","Eigentümertyp - Total","Laubholz","40691","5030","9809","25837","9205","16632","15"
3,"Luzern",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","55671","25169","11239","19169","5312","13857","93"
3,"Luzern",2019,"Schweiz","Öffentliche Wälder","Nadelholz","42895","23893","8906","10015","3398","6618","81"
3,"Luzern",2019,"Schweiz","Öffentliche Wälder","Laubholz","12776","1276","2334","9154","1915","7239","13"
3,"Luzern",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","136256","70069","30546","35614","13654","21960","28"
3,"Luzern",2019,"Schweiz","Privatwälder","Nadelholz","108341","66315","23070","18931","6363","12567","25"
3,"Luzern",2019,"Schweiz","Privatwälder","Laubholz","27915","3754","7475","16683","7290","9393","3"
4,"Uri",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","30531","10995","243","19290","6928","12362","3"
4,"Uri",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","24125","10921","240","12961","2698","10263","3"
4,"Uri",2019,"Schweiz","Eigentümertyp - Total","Laubholz","6406","74","3","6329","4230","2099","0"
4,"Uri",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","26197","10060","243","15891","4018","11873","3"
4,"Uri",2019,"Schweiz","Öffentliche Wälder","Nadelholz","21759","10016","240","11500","1636","9864","3"
4,"Uri",2019,"Schweiz","Öffentliche Wälder","Laubholz","4438","44","3","4391","2382","2009","0"
4,"Uri",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","4334","935","0","3399","2910","489","0"
4,"Uri",2019,"Schweiz","Privatwälder","Nadelholz","2366","905","0","1461","1062","399","0"
4,"Uri",2019,"Schweiz","Privatwälder","Laubholz","1968","30","0","1938","1848","90","0"
5,"Schwyz",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","92815","47553","8854","36065","13347","22718","343"
5,"Schwyz",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","74775","45991","6917","21555","4111","17444","312"
5,"Schwyz",2019,"Schweiz","Eigentümertyp - Total","Laubholz","18040","1562","1937","14510","9236","5274","31"
5,"Schwyz",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","62729","34024","5592","23039","5546","17493","74"
5,"Schwyz",2019,"Schweiz","Öffentliche Wälder","Nadelholz","54738","33317","4900","16448","1896","14552","73"
5,"Schwyz",2019,"Schweiz","Öffentliche Wälder","Laubholz","7991","706","692","6591","3650","2941","1"
5,"Schwyz",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","30086","13529","3262","13026","7801","5225","269"
5,"Schwyz",2019,"Schweiz","Privatwälder","Nadelholz","20037","12674","2017","5107","2215","2892","239"
5,"Schwyz",2019,"Schweiz","Privatwälder","Laubholz","10049","856","1245","7919","5586","2333","30"
6,"Obwalden",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","72389","27372","7704","37275","10383","26892","38"
6,"Obwalden",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","46175","24376","5728","16033","1172","14861","38"
6,"Obwalden",2019,"Schweiz","Eigentümertyp - Total","Laubholz","26214","2996","1976","21242","9211","12031","0"
6,"Obwalden",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","69994","26947","7292","35755","8936","26819","0"
6,"Obwalden",2019,"Schweiz","Öffentliche Wälder","Nadelholz","45207","24071","5687","15449","588","14861","0"
6,"Obwalden",2019,"Schweiz","Öffentliche Wälder","Laubholz","24787","2876","1605","20306","8348","11958","0"
6,"Obwalden",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","2395","425","412","1520","1447","73","38"
6,"Obwalden",2019,"Schweiz","Privatwälder","Nadelholz","968","305","41","584","584","0","38"
6,"Obwalden",2019,"Schweiz","Privatwälder","Laubholz","1427","120","371","936","863","73","0"
7,"Nidwalden",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","23820","5585","1162","17053","4557","12496","20"
