"subject","predicate","object"
"https://energy.ld.admin.ch/elcom/electricityprice-canton","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://cube.link/Cube"
"https://energy.ld.admin.ch/elcom/electricityprice-canton","https://cube.link/observationConstraint","https://energy.ld.admin.ch/elcom/electricityprice-canton/shape"
"https://energy.ld.admin.ch/elcom/electricityprice-canton","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/prices"
"https://energy.ld.admin.ch/elcom/electricityprice-canton","http://purl.org/dc/terms/publisher","Eidgenössische Elektrizitätskommission ElCom"
"https://energy.ld.admin.ch/elcom/electricityprice-canton","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://energy.ld.admin.ch/elcom/electricityprice-canton","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://energy.ld.admin.ch/elcom/electricityprice-canton","http://schema.org/creator","https://register.ld.admin.ch/opendataswiss/org/elcom"
"https://energy.ld.admin.ch/elcom/electricityprice-canton","http://schema.org/datePublished","2021-01-01"
"https://energy.ld.admin.ch/elcom/electricityprice-canton","http://schema.org/description","Median electricity tariff per region & consumption profiles"
"https://energy.ld.admin.ch/elcom/electricityprice-canton","http://schema.org/name","Median electricity tariff per canton"
"https://energy.ld.admin.ch/elcom/electricityprice-canton","http://schema.org/workExample","https://ld.admin.ch/application/visualize"
"https://energy.ld.admin.ch/elcom/electricityprice-canton","https://visualize.admin.ch/hasDimension","https://energy.ld.admin.ch/elcom/electricityprice/dimension/canton"
"https://energy.ld.admin.ch/elcom/electricityprice/dimension/canton","https://visualize.admin.ch/hasTermset","https://ld.admin.ch/dimension/canton"
"https://energy.ld.admin.ch/elcom/electricityprice/dimension/canton","http://schema.org/name","Canton"
"https://ld.admin.ch/dimension/canton","http://schema.org/name","Cantons"
"https://register.ld.admin.ch/opendataswiss/org/elcom","http://schema.org/name","Federal Electricity Commission ElCom"
"https://register.ld.admin.ch/opendataswiss/category/prices","http://schema.org/name","Prices"
"https://energy.ld.admin.ch/elcom/electricityprice-canton","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/energy"
"https://register.ld.admin.ch/opendataswiss/category/energy","http://schema.org/name","Energy"
"https://energy.ld.admin.ch/elcom/electricityprice-canton","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/national-economy"
"https://register.ld.admin.ch/opendataswiss/category/national-economy","http://schema.org/name","National economy"
"https://energy.ld.admin.ch/sfoe/bfe_ogd84_einmalverguetung_fuer_photovoltaikanlagen/14","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://cube.link/Cube"
"https://energy.ld.admin.ch/sfoe/bfe_ogd84_einmalverguetung_fuer_photovoltaikanlagen/14","https://cube.link/observationConstraint","https://energy.ld.admin.ch/sfoe/bfe_ogd84_einmalverguetung_fuer_photovoltaikanlagen/9/shape/"
"https://energy.ld.admin.ch/sfoe/bfe_ogd84_einmalverguetung_fuer_photovoltaikanlagen/14","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/national-economy"
"https://energy.ld.admin.ch/sfoe/bfe_ogd84_einmalverguetung_fuer_photovoltaikanlagen/14","http://purl.org/dc/terms/publisher","Pronovo AG"
"https://energy.ld.admin.ch/sfoe/bfe_ogd84_einmalverguetung_fuer_photovoltaikanlagen/14","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://energy.ld.admin.ch/sfoe/bfe_ogd84_einmalverguetung_fuer_photovoltaikanlagen/14","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://energy.ld.admin.ch/sfoe/bfe_ogd84_einmalverguetung_fuer_photovoltaikanlagen/14","http://schema.org/creator","https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-energie-bfe"
"https://energy.ld.admin.ch/sfoe/bfe_ogd84_einmalverguetung_fuer_photovoltaikanlagen/14","http://schema.org/datePublished","2022-08-16"
