"subject","predicate","object"
"https://energy.ld.admin.ch/elcom/electricityprice","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://cube.link/Cube"
"https://energy.ld.admin.ch/elcom/electricityprice","https://cube.link/observationConstraint","https://energy.ld.admin.ch/elcom/electricityprice/shape"
"https://energy.ld.admin.ch/elcom/electricityprice","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/prices"
"https://energy.ld.admin.ch/elcom/electricityprice","http://purl.org/dc/terms/publisher","Eidgenössische Elektrizitätskommission ElCom"
"https://energy.ld.admin.ch/elcom/electricityprice","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://energy.ld.admin.ch/elcom/electricityprice","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://energy.ld.admin.ch/elcom/electricityprice","http://schema.org/creator","https://register.ld.admin.ch/opendataswiss/org/elcom"
"https://energy.ld.admin.ch/elcom/electricityprice","http://schema.org/datePublished","2021-01-01"
"https://energy.ld.admin.ch/elcom/electricityprice","http://schema.org/description","Strompreise per Stromnetzbetreiber und Gemeinde in der Schweiz"
"https://energy.ld.admin.ch/elcom/electricityprice","http://schema.org/name","Strompreis per Stromnetzbetreiber"
"https://energy.ld.admin.ch/elcom/electricityprice","http://schema.org/workExample","https://ld.admin.ch/application/visualize"
"https://energy.ld.admin.ch/elcom/electricityprice","https://visualize.admin.ch/hasDimension","https://energy.ld.admin.ch/elcom/electricityprice/dimension/period"
"https://energy.ld.admin.ch/elcom/electricityprice/dimension/period","https://visualize.admin.ch/hasTimeUnit","http://www.w3.org/2006/time#unitYear"
"https://register.ld.admin.ch/opendataswiss/org/elcom","http://schema.org/name","Eidgenössische Elektrizitätskommission ElCom"
"https://register.ld.admin.ch/opendataswiss/category/prices","http://schema.org/name","Preise"
"https://energy.ld.admin.ch/elcom/electricityprice","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/energy"
"https://register.ld.admin.ch/opendataswiss/category/energy","http://schema.org/name","Energie"
"https://energy.ld.admin.ch/elcom/electricityprice","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/national-economy"
"https://register.ld.admin.ch/opendataswiss/category/national-economy","http://schema.org/name","Volkswirtschaft"
"https://energy.ld.admin.ch/sfoe/OGD84GebTest/1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://cube.link/Cube"
"https://energy.ld.admin.ch/sfoe/OGD84GebTest/1","https://cube.link/observationConstraint","https://energy.ld.admin.ch/sfoe/OGD84GebTest/1/shape/"
"https://energy.ld.admin.ch/sfoe/OGD84GebTest/1","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/energy"
"https://energy.ld.admin.ch/sfoe/OGD84GebTest/1","http://purl.org/dc/terms/publisher","Pronovo AG"
"https://energy.ld.admin.ch/sfoe/OGD84GebTest/1","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://energy.ld.admin.ch/sfoe/OGD84GebTest/1","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://energy.ld.admin.ch/sfoe/OGD84GebTest/1","http://schema.org/creator","https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-energie-bfe"
"https://energy.ld.admin.ch/sfoe/OGD84GebTest/1","http://schema.org/datePublished","2022-02-28"
"https://energy.ld.admin.ch/sfoe/OGD84GebTest/1","http://schema.org/description","Seit 2014 werden Photovoltaikanlagen mit einer Einmalvergütung (EIV) gefördert. Dabei wird abhängig von der Leistung, der Anlagenkategorie und dem Inbetriebnahmedatum ein einmaliger Beitrag an die Anlagenbetreiber ausbezahlt. Hier finden Sie pro Kanton und Auszahlungsjahr einen Überblick über die Anzahl geförderter EIV-Anlagen, die installierte Leistung in Kilowatt (kW) sowie den ausbezahlten EIV-Förderbeitrag. Die dargestellten Daten entsprechen nicht vollständig der offiziellen Statistik der erneuerbaren Energien durch das BFE. Da der Abbau der Wartelisten zeitverzögert stattfindet, können Abweichungen entstehen."
"https://energy.ld.admin.ch/sfoe/OGD84GebTest/1","http://schema.org/name","GEB - Einmalvergütung für Photovoltaikanlagen"
"https://energy.ld.admin.ch/sfoe/OGD84GebTest/1","http://schema.org/workExample","https://ld.admin.ch/application/visualize"
"https://energy.ld.admin.ch/sfoe/OGD84GebTest/1","https://visualize.admin.ch/hasDimension","https://energy.ld.admin.ch/sfoe/OGD84GebTest/Jahr"
"https://energy.ld.admin.ch/sfoe/OGD84GebTest/1","https://visualize.admin.ch/hasThemeIris","https://register.ld.admin.ch/opendataswiss/category/energy|||https://register.ld.admin.ch/opendataswiss/category/national-economy"
"https://energy.ld.admin.ch/sfoe/OGD84GebTest/1","https://visualize.admin.ch/hasThemeLabels","Energie|||Volkswirtschaft"
"https://energy.ld.admin.ch/sfoe/OGD84GebTest/Jahr","https://visualize.admin.ch/hasTimeUnit","http://www.w3.org/2006/time#unitYear"
"https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-energie-bfe","http://schema.org/name","Bundesamt für Energie BFE"
"https://register.ld.admin.ch/opendataswiss/category/energy","http://schema.org/name","Energie"
"https://energy.ld.admin.ch/sfoe/OGD84GebTest/1","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/national-economy"
"https://register.ld.admin.ch/opendataswiss/category/national-economy","http://schema.org/name","Volkswirtschaft"
"https://energy.ld.admin.ch/sfoe/OGD84GebTest/1","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/energy"
"https://energy.ld.admin.ch/sfoe/OGD84GebTest/1","http://schema.org/datePublished","2022-06-01T14:05:53.229Z"
"https://register.ld.admin.ch/opendataswiss/category/energy","http://schema.org/name","Energie"
"https://energy.ld.admin.ch/sfoe/OGD84GebTest/1","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/national-economy"
