"subject","predicate","object"
"https://energy.ld.admin.ch/elcom/electricityprice","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://cube.link/Cube"
"https://energy.ld.admin.ch/elcom/electricityprice","http://schema.org/name","Electricity tariff per provider"
"https://energy.ld.admin.ch/elcom/electricityprice","http://schema.org/description","Electricity tariff per provider and municipality in Switzerland"
"https://energy.ld.admin.ch/elcom/electricityprice","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/energy"
"https://energy.ld.admin.ch/elcom/electricityprice","http://purl.org/dc/terms/publisher","Eidgenössische Elektrizitätskommission ElCom"
"https://energy.ld.admin.ch/elcom/electricityprice","http://schema.org/creator","https://register.ld.admin.ch/opendataswiss/org/elcom"
"https://energy.ld.admin.ch/elcom/electricityprice","http://schema.org/workExample","https://ld.admin.ch/application/visualize"
"https://energy.ld.admin.ch/elcom/electricityprice","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://energy.ld.admin.ch/elcom/electricityprice","https://cube.link/observationConstraint","https://energy.ld.admin.ch/elcom/electricityprice/shape"
"https://energy.ld.admin.ch/elcom/electricityprice","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://energy.ld.admin.ch/elcom/electricityprice","http://schema.org/datePublished","2021-01-01"
"https://register.ld.admin.ch/opendataswiss/org/elcom","http://schema.org/inDefinedTermSet","https://register.ld.admin.ch/opendataswiss/org"
"https://register.ld.admin.ch/opendataswiss/org/elcom","http://schema.org/name","Federal Electricity Commission ElCom"
"https://register.ld.admin.ch/opendataswiss/category/energy","http://schema.org/inDefinedTermSet","https://register.ld.admin.ch/opendataswiss/category"
"https://register.ld.admin.ch/opendataswiss/category/energy","http://schema.org/name","Energy"
"https://energy.ld.admin.ch/elcom/electricityprice","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/national-economy"
"https://register.ld.admin.ch/opendataswiss/category/national-economy","http://schema.org/inDefinedTermSet","https://register.ld.admin.ch/opendataswiss/category"
"https://register.ld.admin.ch/opendataswiss/category/national-economy","http://schema.org/name","National economy"
"https://energy.ld.admin.ch/elcom/electricityprice","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/prices"
"https://register.ld.admin.ch/opendataswiss/category/prices","http://schema.org/inDefinedTermSet","https://register.ld.admin.ch/opendataswiss/category"
